timestamp,member_name,city,country,temperature,humidity,wind_speed,weather_main,weather_description,2025-07-23 21:04,28,Atlanta,City,Description,Temperature (F),Timestamp,cloudiness,datetime,description,dt,feels_like,few clouds,humidity_pct,id,name,pressure,speed,sunrise,sunset,temp,temp_f,timezone,units,visibility,wind_direction,wind_speed_mph
2025-07-16T14:30:22.123456,Sample Member,New York,US,22.5,45.0,3.2,Clear,clear sky,,,,,,,,10,,,,24.1,,,,,1013,,06:15,19:45,,,-5.0,,10.0,180,
2023-01-01 15:14:29,Capstone_tobi,Chicago,,8.01,60.0,4.52,Few,Few clouds,,,,,,,,,2023-01-01 15:14:29,Few clouds,,,,60,,,,,,,,46.42,,imperial,,,10.1
2023-01-02 15:14:29,Capstone_tobi,Chicago,,4.47,47.0,6.12,Clear,Clear sky,,,,,,,,,2023-01-02 15:14:29,Clear sky,,,,47,,,,,,,,40.04,,imperial,,,13.7
2023-01-03 15:14:29,Capstone_tobi,Chicago,,4.06,62.0,3.89,Light,Light rain,,,,,,,,,2023-01-03 15:14:29,Light rain,,,,62,,,,,,,,39.3,,imperial,,,8.7
2023-01-04 15:14:29,Capstone_tobi,Chicago,,8.42,46.0,3.17,Overcast,Overcast clouds,,,,,,,,,2023-01-04 15:14:29,Overcast clouds,,,,46,,,,,,,,47.16,,imperial,,,7.1
2023-01-05 15:14:29,Capstone_tobi,Chicago,,0.21,33.0,2.41,Few,Few clouds,,,,,,,,,2023-01-05 15:14:29,Few clouds,,,,33,,,,,,,,32.37,,imperial,,,5.4
2023-01-06 15:14:29,Capstone_tobi,Chicago,,6.89,40.0,2.59,Scattered,Scattered clouds,,,,,,,,,2023-01-06 15:14:29,Scattered clouds,,,,40,,,,,,,,44.41,,imperial,,,5.8
2023-01-07 15:14:29,Capstone_tobi,Chicago,,2.76,49.0,1.65,Overcast,Overcast clouds,,,,,,,,,2023-01-07 15:14:29,Overcast clouds,,,,49,,,,,,,,36.96,,imperial,,,3.7
2023-01-08 15:14:29,Capstone_tobi,Chicago,,6.64,34.0,5.01,Few,Few clouds,,,,,,,,,2023-01-08 15:14:29,Few clouds,,,,34,,,,,,,,43.95,,imperial,,,11.2
2023-01-09 15:14:29,Capstone_tobi,Chicago,,5.35,21.0,4.16,Overcast,Overcast clouds,,,,,,,,,2023-01-09 15:14:29,Overcast clouds,,,,21,,,,,,,,41.63,,imperial,,,9.3
2023-01-10 15:14:29,Capstone_tobi,Chicago,,3.36,42.0,3.49,Scattered,Scattered clouds,,,,,,,,,2023-01-10 15:14:29,Scattered clouds,,,,42,,,,,,,,38.04,,imperial,,,7.8
2023-01-11 15:14:29,Capstone_tobi,Chicago,,-1.06,32.0,3.76,Overcast,Overcast clouds,,,,,,,,,2023-01-11 15:14:29,Overcast clouds,,,,32,,,,,,,,30.1,,imperial,,,8.4
2023-01-12 15:14:29,Capstone_tobi,Chicago,,2.2,69.0,6.04,Few,Few clouds,,,,,,,,,2023-01-12 15:14:29,Few clouds,,,,69,,,,,,,,35.96,,imperial,,,13.5
2023-01-13 15:14:29,Capstone_tobi,Chicago,,3.53,66.0,5.41,Clear,Clear sky,,,,,,,,,2023-01-13 15:14:29,Clear sky,,,,66,,,,,,,,38.35,,imperial,,,12.1
2023-01-14 15:14:29,Capstone_tobi,Chicago,,1.9,68.0,4.11,Scattered,Scattered clouds,,,,,,,,,2023-01-14 15:14:29,Scattered clouds,,,,68,,,,,,,,35.42,,imperial,,,9.2
2023-01-15 15:14:29,Capstone_tobi,Chicago,,1.04,31.0,3.31,Few,Few clouds,,,,,,,,,2023-01-15 15:14:29,Few clouds,,,,31,,,,,,,,33.88,,imperial,,,7.4
2023-01-16 15:14:29,Capstone_tobi,Chicago,,3.83,50.0,4.6,Clear,Clear sky,,,,,,,,,2023-01-16 15:14:29,Clear sky,,,,50,,,,,,,,38.89,,imperial,,,10.3
2023-01-17 15:14:29,Capstone_tobi,Chicago,,3.3,88.0,5.14,Clear,Clear sky,,,,,,,,,2023-01-17 15:14:29,Clear sky,,,,88,,,,,,,,37.94,,imperial,,,11.5
2023-01-18 15:14:29,Capstone_tobi,Chicago,,-2.76,80.0,5.41,Snow,Snow,,,,,,,,,2023-01-18 15:14:29,Snow,,,,80,,,,,,,,27.04,,imperial,,,12.1
2023-01-19 15:14:29,Capstone_tobi,Chicago,,-0.18,57.0,5.81,Clear,Clear sky,,,,,,,,,2023-01-19 15:14:29,Clear sky,,,,57,,,,,,,,31.68,,imperial,,,13.0
2023-01-20 15:14:29,Capstone_tobi,Chicago,,1.52,67.0,5.36,Clear,Clear sky,,,,,,,,,2023-01-20 15:14:29,Clear sky,,,,67,,,,,,,,34.73,,imperial,,,12.0
2023-01-21 15:14:29,Capstone_tobi,Chicago,,5.23,46.0,2.1,Overcast,Overcast clouds,,,,,,,,,2023-01-21 15:14:29,Overcast clouds,,,,46,,,,,,,,41.41,,imperial,,,4.7
2023-01-22 15:14:29,Capstone_tobi,Chicago,,1.12,57.0,3.44,Clear,Clear sky,,,,,,,,,2023-01-22 15:14:29,Clear sky,,,,57,,,,,,,,34.02,,imperial,,,7.7
2023-01-23 15:14:29,Capstone_tobi,Chicago,,-0.11,68.0,9.52,Clear,Clear sky,,,,,,,,,2023-01-23 15:14:29,Clear sky,,,,68,,,,,,,,31.81,,imperial,,,21.3
2023-01-24 15:14:29,Capstone_tobi,Chicago,,1.55,56.0,4.6,Overcast,Overcast clouds,,,,,,,,,2023-01-24 15:14:29,Overcast clouds,,,,56,,,,,,,,34.79,,imperial,,,10.3
