timestamp,member_name,city,country,temperature,humidity,wind_speed,weather_main,weather_description,City,Description,Temperature (F),Timestamp,cloudiness,feels_like,pressure,sunrise,sunset,timezone,visibility,wind_direction
2025-07-16T14:30:22.123456,Sample Member,New York,US,22.5,45.0,3.2,Clear,clear sky,,,,,10,24.1,1013,06:15,19:45,-5.0,10.0,180
2025-06-16T14:45:22.123456,Eric,Providence,US,22.1,72.0,3.2,Few,few clouds,,,,,25,24.5,1016,05:12,19:56,-5.0,10.0,180
2025-06-17T14:45:22.123456,Eric,Providence,US,25.3,65.0,2.8,Clear,clear sky,,,,,5,27.8,1014,05:12,19:57,-5.0,10.0,220
2025-06-18T14:45:22.123456,Eric,Providence,US,21.7,78.0,4.5,Light,light rain,,,,,85,23.2,1018,05:12,19:57,-5.0,8.5,270
2025-06-19T14:45:22.123456,Eric,Providence,US,26.4,58.0,3.1,Clear,clear sky,,,,,10,29.1,1012,05:12,19:58,-5.0,10.0,190
2025-06-20T14:45:22.123456,Eric,Providence,US,28.9,55.0,2.5,Clear,clear sky,,,,,0,32.4,1009,05:12,19:58,-5.0,10.0,160
2025-06-21T14:45:22.123456,Eric,Providence,US,24.6,68.0,3.8,Scattered,scattered clouds,,,,,45,26.8,1015,05:13,19:59,-5.0,10.0,240
2025-06-22T14:45:22.123456,Eric,Providence,US,23.2,74.0,4.2,Broken,broken clouds,,,,,70,25.1,1017,05:13,19:59,-5.0,9.5,290
2025-06-23T14:45:22.123456,Eric,Providence,US,27.5,52.0,2.9,Clear,clear sky,,,,,5,30.8,1011,05:13,19:59,-5.0,10.0,180
2025-06-24T14:45:22.123456,Eric,Providence,US,25.8,63.0,3.5,Few,few clouds,,,,,30,28.3,1013,05:14,20:00,-5.0,10.0,210
2025-06-25T14:45:22.123456,Eric,Providence,US,29.2,48.0,2.1,Clear,clear sky,,,,,0,33.1,1008,05:14,20:00,-5.0,10.0,150
2025-06-26T14:45:22.123456,Eric,Providence,US,22.8,76.0,5.2,Moderate,moderate rain,,,,,90,24.9,1019,05:14,20:00,-5.0,7.2,310
2025-06-27T14:45:22.123456,Eric,Providence,US,20.5,82.0,4.8,Light,light rain,,,,,95,22.1,1021,05:15,20:01,-5.0,8.8,320
2025-06-28T14:45:22.123456,Eric,Providence,US,24.1,69.0,3.6,Scattered,scattered clouds,,,,,50,26.4,1016,05:15,20:01,-5.0,10.0,200
2025-06-29T14:45:22.123456,Eric,Providence,US,26.7,61.0,2.7,Clear,clear sky,,,,,15,29.5,1014,05:15,20:01,-5.0,10.0,170
2025-06-30T14:45:22.123456,Eric,Providence,US,28.3,56.0,2.4,Clear,clear sky,,,,,5,31.6,1010,05:16,20:02,-5.0,10.0,140
2025-07-01T14:45:22.123456,Eric,Providence,US,30.1,51.0,2.0,Clear,clear sky,,,,,0,34.2,1007,05:16,20:02,-5.0,10.0,130
2025-07-02T14:45:22.123456,Eric,Providence,US,31.4,47.0,1.8,Clear,clear sky,,,,,0,36.1,1005,05:16,20:02,-5.0,10.0,120
2025-07-03T14:45:22.123456,Eric,Providence,US,29.8,53.0,2.6,Few,few clouds,,,,,20,33.4,1009,05:17,20:02,-5.0,10.0,180
2025-07-04T14:45:22.123456,Eric,Providence,US,27.9,59.0,3.4,Scattered,scattered clouds,,,,,40,30.8,1012,05:17,20:02,-5.0,10.0,220
